,group,chinese,english,math,nature,society,physics
24,literature,78.29479882807237,64.71528382634816,26.644409994164313,36.91662440213152,74.97043889693687,36.24660769887423
25,literature,66.06927144903524,72.77570545602983,21.09972658765017,48.32444075833078,59.09973541502909,68.96277308813612
26,literature,98.78715982455141,55.035323296156726,20.98181812927405,58.98095455088195,78.51083806159706,72.37415720499814
27,literature,76.11876496271925,69.26603499420702,26.014444496560067,43.47761862287981,81.27244756246839,59.03173095103405
28,literature,55.67924752977179,53.519582203485534,48.67201334289254,51.39758790603384,57.34261764428034,53.0395164446374
29,literature,86.77977300947556,75.56798202042798,23.348832526569453,45.22852034847984,79.47617493618446,45.099859804613146
30,literature,86.36857793302018,63.14876638800024,32.046259418003494,34.01937189592113,89.24447106957624,45.00602662298162
31,literature,78.45551096656126,74.63881467230675,22.213224769639513,33.350209937957004,77.92538137582719,40.18215500343154
32,literature,67.00653709006738,71.78302305390152,42.50314335568587,34.49619623522922,74.28419927677562,42.53352286373462
33,literature,82.62646501776989,67.8280456019662,31.532217849073074,53.7710645530802,85.08457222469492,51.65582746497738
34,literature,73.18353629352349,56.993605822775955,40.50456077866478,23.810754695249898,49.68573287314091,47.20347289903326
35,literature,86.50770812529954,75.34333670089899,18.72457386834096,61.178489387832215,57.765477500694686,45.29692099254362
36,literature,68.216083288828,68.28545628702368,43.46978880631866,43.31849545177084,62.75993582396363,52.5217114674423
37,literature,72.3568848258688,65.32092642360249,16.64042510752211,27.950708151094297,62.647148188073885,39.6308790646592
38,literature,80.00714086461107,83.03777124466473,27.517246733502418,38.83182023045117,62.26858053101654,64.09448341329158
39,literature,85.85003905690499,44.02553635489183,31.802212373711406,47.14060455052454,66.55087295708572,47.01807274205272
40,literature,86.03119315232973,60.40446215016159,29.290783487767673,55.82470950539438,77.2396436744519,44.478108737804675
41,literature,65.90952256919627,60.50673924843564,30.36114131229958,31.05119691020075,55.962591226759415,48.189326219821425
42,literature,85.60334801802381,71.6845924377287,39.47988465462026,62.45645500580913,86.89793629650244,52.25270230775718
43,literature,91.14317456466627,47.097960981529056,44.59957983063359,39.53923442716918,82.36596842085241,48.95266738748893
44,literature,80.69695909453921,62.16626827890135,38.78171174745049,27.6499413419251,81.74850528532558,59.48398654619784
45,literature,87.8358844312255,77.07957550050511,28.199140476458282,56.818151044360704,100.0,62.1742122297708
46,literature,96.80961268885582,53.44090980745111,18.092927039346378,42.24207247920401,76.53718893060349,44.13026323333651
47,literature,77.31548340762973,55.11054245410416,29.004685694530682,44.31227841351058,58.16226704074549,49.32938201688925
48,literature,86.12396825066399,60.70260214683885,32.229196359723865,43.911870507556216,98.3865886453853,57.49786116166356
49,literature,87.5651505630563,50.13792936985308,29.625149703826732,25.391698276930175,81.87223843795931,28.71154343671258
50,science,70.04532135955898,71.49172382046495,83.1989820019791,52.978740949051826,33.226235596998336,100.0
51,science,38.24850249379434,82.1751776894061,86.8855551959622,51.970980911371,37.535719197131776,80.95067981599767
52,science,35.38617775098973,58.30116758433368,79.21008410447185,93.15889589114344,18.567238657978493,60.09042778716697
53,science,42.12575030333592,54.284760337000996,89.05786493754744,81.01036050935416,64.64506270893598,80.00908821679506
54,science,55.26650218332696,89.32300527666223,100.0,87.16706112957546,49.397876074433206,74.92600335366508
55,science,40.4775696146591,83.30206562317005,45.37962306889495,66.93462090264147,51.867815641702016,76.08133071421996
56,science,38.20634120102001,65.98518363764579,87.6061283521907,72.7089885698236,38.45333334944585,93.61291319474256
57,science,32.67532786697867,90.73608369790443,84.35690051940134,100.0,18.725284853343705,80.20744259648457
58,science,39.374704147657866,70.37058701583248,70.47778874908376,74.17162816864928,38.30652833034489,74.78545811792759
59,science,44.67395583762716,81.00977034440128,88.86260215297169,71.4964241377198,7.3035748350089875,88.98622365727388
60,science,44.09647290418489,39.34866380086645,65.15028223983396,51.642992945097234,39.964153604473005,76.78916560476331
61,science,56.272361219697046,72.46163975556287,89.01447846198334,73.76729164181693,53.82521931494,74.40158381207566
62,science,32.52257475441615,7.8329309523814885,70.04936410403265,76.04416537238058,36.298903596717864,94.7388368204683
63,science,37.10073888680561,54.25272926102575,78.56887791536583,71.40274821377125,49.451057831802665,92.4530820342309
64,science,49.652778607839856,62.773219889635946,88.30907132130379,89.9612486037053,69.88460596422932,69.34874909192959
65,science,52.50810798479051,37.57959805212572,73.83914203852483,85.09108083720933,22.69748626086229,85.0596412840738
66,science,41.15982549376814,48.34437236667091,81.61203950859021,95.16308380364389,30.719202797291693,73.4492126191209
67,science,38.612436565244096,71.62837137310721,90.59062785146882,100.0,28.20840259617335,86.2496632661326
68,science,40.78684694289435,57.78074756024546,78.07193726365611,100.0,53.719853030198614,81.4253366174182
69,science,43.08274405428308,46.146540048073156,82.4209447922901,68.92030241421718,60.30871308240267,72.97862658741028
70,science,50.47244923039665,56.200329073432755,75.85817247676911,84.09000033719735,55.55063523715881,78.97750898651628
71,science,34.87037673479233,85.21888878319368,72.58868714142626,61.027898036543405,50.69876301631832,85.07651552906013
72,science,47.12822969755977,48.61293219408306,61.59606860479054,62.81998198960898,50.08233441741889,72.64000885560569
73,science,36.662914830286944,65.48664641367263,76.79449764353323,86.01369096390903,43.13988473354743,79.02441544015892
74,science,44.96041420059615,47.27702100269679,74.50765664104651,31.894411789119445,94.62628623586681,94.59763697947271
75,science,31.58559468600632,71.79866795424493,72.83964433572437,78.89104502474689,58.54333875583039,84.35558679352609
76,science,44.59667521207901,44.84692163210235,71.35663147457495,72.3386517585535,37.98299711324469,94.33163985024201
77,science,34.444195660968504,74.06222866295566,62.2659952849396,89.00400680590312,46.126059998014284,89.08669895340229
78,science,44.90956110592406,52.40163671954639,81.92400732572747,62.552571750124315,25.55447060151794,88.601420580445
79,science,52.329219242839116,52.3419234977633,75.28639291865113,60.68003743762664,67.52600811712618,95.16784872678302
80,science,31.379609854953227,72.00318870252903,88.87789936253002,76.3413015991641,77.89806298890943,87.91648269574569
81,science,43.12591865182126,36.47482251644918,83.80051751535834,87.38889019697102,20.994374200687847,83.86232390738348
82,science,29.401523408492977,77.27662954674018,81.33442540194609,88.10658003269457,94.37722341932925,74.36102478499282
83,science,20.002106456119417,87.04353171673094,78.03040226005675,100.0,9.047022855238307,71.3843645933318
84,science,47.736288675638804,57.66927921433323,78.50507127562534,100.0,34.10738011406588,88.10314222041968
85,science,35.946053599337766,69.84028177202956,83.32620923430765,47.79374069732968,27.21748752288288,68.7921556194591
86,science,57.88309993325281,63.324185198096814,68.86618739776571,93.34680717415311,15.054486996321728,79.13294568929956
87,science,24.5119832881088,89.61128109601748,59.06585537176524,83.53462246631987,47.45751519464049,73.78563194128031
88,science,40.80252919357285,76.04142049828414,100.0,78.52848860139217,62.395472780939784,80.73593906640788
89,science,44.65796481781172,53.97146750316253,78.66831854202738,48.45427296200896,29.41380922302739,61.981658924212276
90,science,61.62372647976362,75.05701119695715,69.57499456360989,100.0,81.7433787978055,77.85455360844605
91,science,40.05748740559856,59.78919339158459,75.69782690952677,90.95112611051741,57.97818516769051,100.0
92,science,36.49108155899131,67.81088757247433,85.04850560051302,99.36156424181442,50.13714679903479,71.85237407670932
93,science,43.4382680839244,74.58286471886136,93.76148808715384,68.81745275000675,31.146331200617706,77.61803724170484
94,science,47.129904760261994,78.02673328858386,85.75178659405339,98.27822400631631,18.594777953255218,71.80151358045609
95,science,65.0497136502198,76.12913950283586,84.7296248267215,84.28735969786737,45.33993258500664,100.0
96,science,42.99005309907123,76.4707512130183,85.6910485386794,76.56410077535575,57.33759196249349,81.82012754589613
97,science,22.279123788382122,45.25718087957971,82.25987595014527,39.853884077330896,51.13957089314138,89.91482526370778
98,science,35.455164234478076,34.05370903066684,50.174398690273094,66.66185928620594,40.26951999317498,78.56334771163985
99,science,43.954124133222,72.17967476246119,89.5878649278046,82.33419298324242,47.326623176275824,91.70561564170617
